Using existing task list: /root/autodl-tmp/workspace/FastWAM/evaluate_results/libero_plus/create_only_test/tasks.txt

Starting persistent LIBERO worker pool...
task: libero_uncond_2cam224_1e-4
checkpoint: /root/autodl-tmp/workspace/checkpoints/fastwam_release/libero_uncond_2cam224.pt
GPUs: 0
trials per task: 1
task list: /root/autodl-tmp/workspace/FastWAM/evaluate_results/libero_plus/full_run/tasks.txt
output: /root/autodl-tmp/workspace/FastWAM/evaluate_results/libero_plus/full_run
forwarded overrides: EVALUATION.dataset_stats_path=/root/autodl-tmp/workspace/checkpoints/fastwam_release/libero_uncond_2cam224_dataset_stats.json EVALUATION.sigma_shift=5.0
recovery: quarantine a crashed GPU and requeue its unfinished task
started worker GPU0: /root/autodl-tmp/workspace/FastWAM/evaluate_results/libero_plus/full_run/.worker_pool/logs/worker_0.log
[2026-09-14 04:56:22] completed=1511/10030 pending=10030 active_workers=1
[2026-09-14 04:57:24] completed=1511/10030 pending=10030 active_workers=1
[2026-09-14 04:58:27] completed=1512/10030 pending=8517 active_workers=1
[2026-09-14 04:59:29] completed=1516/10030 pending=8513 active_workers=1
[2026-09-14 05:00:31] completed=1519/10030 pending=8510 active_workers=1
[2026-09-14 05:01:34] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:02:36] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:03:38] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:04:40] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:05:43] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:06:45] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:07:47] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:08:49] completed=1521/10030 pending=8508 active_workers=1
[2026-09-14 05:09:52] completed=1522/10030 pending=8507 active_workers=1
[2026-09-14 05:10:54] completed=1522/10030 pending=8507 active_workers=1
[2026-09-14 05:11:56] completed=1522/10030 pending=8507 active_workers=1
[2026-09-14 05:12:58] completed=1522/10030 pending=8507 active_workers=1
[2026-09-14 05:14:01] completed=1522/10030 pending=8507 active_workers=1
[2026-09-14 05:15:03] completed=1522/10030 pending=8507 active_workers=1
[2026-09-14 05:16:05] completed=1522/10030 pending=8507 active_workers=1
[2026-09-14 05:17:07] completed=1523/10030 pending=8506 active_workers=1
[2026-09-14 05:18:10] completed=1523/10030 pending=8506 active_workers=1
[2026-09-14 05:19:12] completed=1523/10030 pending=8506 active_workers=1
[2026-09-14 05:20:14] completed=1523/10030 pending=8506 active_workers=1
[2026-09-14 05:21:16] completed=1523/10030 pending=8506 active_workers=1
[2026-09-14 05:22:19] completed=1523/10030 pending=8506 active_workers=1
[2026-09-14 05:23:21] completed=1524/10030 pending=8505 active_workers=1
[2026-09-14 05:24:23] completed=1524/10030 pending=8505 active_workers=1
[2026-09-14 05:25:26] completed=1524/10030 pending=8505 active_workers=1
[2026-09-14 05:26:28] completed=1524/10030 pending=8505 active_workers=1
[2026-09-14 05:27:30] completed=1525/10030 pending=8504 active_workers=1
[2026-09-14 05:28:32] completed=1525/10030 pending=8504 active_workers=1
[2026-09-14 05:29:35] completed=1525/10030 pending=8504 active_workers=1
[2026-09-14 05:30:37] completed=1525/10030 pending=8504 active_workers=1
[2026-09-14 05:31:39] completed=1525/10030 pending=8504 active_workers=1
[2026-09-14 05:32:41] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:33:44] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:34:46] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:35:48] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:36:51] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:37:53] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:38:55] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:39:57] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:41:00] completed=1526/10030 pending=8503 active_workers=1
[2026-09-14 05:42:02] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:43:04] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:44:06] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:45:09] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:46:11] completed=1527/10030 pending=8502 active_workers=1
